"","bc","cc","ec"
"382050",6896444,7.42797495546928e-09,2.56308781591176e-17
"382051",897382,7.19065217503987e-09,1.76977659979624e-17
"382052",667578,7.45098560354324e-09,1.37111758073039e-17
"382053",812726,8.19847163221939e-09,0
"382054",247035,8.2888652054552e-09,3.22716417625599e-13
"382057",317774,8.28369823157904e-09,4.64586641663799e-17
"382061",125137,8.54862778940039e-09,2.17960179840094e-09
"382062",2121542,8.64618848940079e-09,6.5518931515648e-08
"382063",93478,8.5650082031402e-09,1.74789208830919e-06
"382064",1347721,8.74604668034129e-09,6.35402886473595e-05
"382067",1346503,8.71734528636149e-09,2.32130716041251e-06
"382068",144362,8.49679378163186e-09,5.22451426431614e-08
"382069",144446,8.61285032887186e-09,8.87180507324434e-10
"382070",111195,8.52741023908453e-09,3.83712275329004e-11
"382071",2058424,8.61803326878399e-09,3.47886571476498e-11
"382072",74024,8.40266359590701e-09,3.37204555414694e-12
"382073",96990,8.53717442785366e-09,2.2706133843299e-13
"382074",5185785,8.44294501822701e-09,5.16125664575752e-14
"382076",1294144,8.72287376728492e-09,2.22498066386857e-06
"382077",2014433,8.69997216326394e-09,1.39274481267e-09
"382078",101751,8.56221635418266e-09,3.28244115333609e-08
"382079",68444,8.61795938104995e-09,7.41883578710699e-10
"382080",77465,8.38711131903344e-09,9.60884920611154e-11
"382081",77493,8.51725840670747e-09,4.58198765103525e-12
"382082",94194,8.65949047276381e-09,3.16651245624311e-08
"390027",3274959,7.06966077822582e-09,3.2195185633755e-17
"390030",276280,7.25741096507866e-09,0
"390033",13706203,7.31101884992548e-09,0
"390034",5244092,7.33437239529886e-09,0
"390035",5273598,7.23690597703815e-09,2.47588485887523e-17
"390041",7973652,7.19401116976563e-09,6.00825105575718e-18
"390042",8017171,7.22432529449155e-09,0
"390043",2456021,7.23237838209785e-09,0
"390044",2463221,7.23847043534644e-09,2.44564304668681e-17
"390047",109097,7.03748918632639e-09,1.11573233707072e-17
"390052",1856528,7.02749016972133e-09,7.0324112449322e-18
"390053",7967922,7.0919618495681e-09,8.42655616301013e-18
"390056",22111009,7.30437810080626e-09,0
"390060",151796,7.1275357630963e-09,7.43363909884394e-18
"390153",230268,6.90366775495929e-09,7.30353204282583e-18
"390158",168471,6.63651533653918e-09,0
"390197",157276,6.89123028593952e-09,0
"390198",142489,6.92671765186541e-09,0
"390202",11219870,6.78867755222089e-09,2.92070674726232e-17
"390214",5436951,6.82213106939813e-09,0
"390248",2050310,6.81759269903391e-09,0
"390252",2088127,6.81175929807179e-09,1.15348713207876e-17
"390306",16392605,7.98174110738753e-09,0
"390313",3984690,7.7155627657882e-09,0
"390316",2138405,7.76317541103683e-09,0
"398709",375547,8.5799760429531e-09,3.34895884319471e-18
"398745",14762296,8.69806187955149e-09,1.59928683842983e-17
"398767",1354819,8.0104089440828e-09,6.61792242112955e-18
"398768",7405899,8.28891490239831e-09,3.84691698205225e-17
"398769",4300951,8.32155832246129e-09,6.25014223374657e-18
"398772",1999622,8.23403680586251e-09,1.56200568679574e-18
"398773",7580293,8.31567612234507e-09,0
"398774",3630846,8.35246895105521e-09,1.7257632909802e-17
"398775",5333992,8.36691376800249e-09,0
"398776",1881717,8.32986909073286e-09,0
"398783",9051063,8.02493408975571e-09,3.15491213756064e-17
"398785",3412247,7.71762976887051e-09,0
"398787",1529389,8.2709767100413e-09,0
"398788",6796875,8.23955152104281e-09,8.9442011517101e-18
"398789",6821862,8.19062445384044e-09,1.52635598278336e-17
"398792",3878294,8.32406802130468e-09,1.96596997975328e-17
"398795",1450686,8.25453374566582e-09,4.73203082442564e-16
"398800",4209607,8.51338873313812e-09,2.7697242268678e-17
"398801",12678188,8.8403392627483e-09,0
"430770",619926,6.10427235154863e-09,0
"430773",660887,6.19903346549919e-09,0
"430775",764164,6.321237180918e-09,0
"430777",5637176,6.21225134008975e-09,0
"430784",9793024,7.48242404695328e-09,5.96183502320976e-17
"430785",6938573,7.43962154875248e-09,5.39587072897914e-18
"430786",2295645,7.45460023879201e-09,0
"430788",3877206,8.11623317125814e-09,2.76930529247837e-17
"430789",3020547,8.07611831913476e-09,4.98872316305016e-17
"430794",2206904,7.74327846953909e-09,7.11330127599464e-18
"430795",249774,7.87754209655729e-09,0
"430796",328827,7.84708892905433e-09,0
"430799",6130559,7.22997873179001e-09,0
"430802",682477,7.90388092466173e-09,0
"430803",1273042,8.06689986407332e-09,3.50045502994773e-17
"442138",3683683,5.99468366118605e-09,9.90500358827141e-18
"442139",542300,6.0740085295e-09,0
"442150",932670,6.40425525245076e-09,2.73204451751674e-17
"442190",1334461,6.33845619245822e-09,0
"442192",4836744,6.33774341092067e-09,0
"442194",1297205,6.171149104128e-09,0
"442196",267201,5.98348279064937e-09,0
"442197",4852251,6.12318127725924e-09,2.33569377125101e-17
"442207",58940,5.92422435957587e-09,0
"442211",3120055,5.4751626763356e-09,0
"442216",3089812,5.12531028517729e-09,0
"442242",586418,5.64002662607334e-09,8.98833768504233e-18
"442252",642308,5.86074239106619e-09,0
"442258",262819,5.88805395011893e-09,3.98958655704458e-17
"442296",2956944,6.693972766595e-09,2.71772956509639e-17
"442301",2635887,6.43710488470895e-09,0
"442308",417575,5.96955798873977e-09,1.18534407330388e-17
"442309",117506,5.82385510645767e-09,8.9278398096073e-18
"442316",784433,6.23724479293616e-09,0
"442317",2553218,6.33613329446382e-09,0
"442320",398241,5.80475255546447e-09,5.26798660258676e-18
"442321",538194,6.02016917709452e-09,0
"442333",100800,6.26530502585268e-09,0
"442335",165792,6.10371488993207e-09,1.66585051395466e-17
"442344",3334261,5.94924458724965e-09,0
"442345",21269,5.88225397681396e-09,0
"442348",60773,5.87155033148894e-09,1.10549064874028e-17
"442349",323416,5.85016632055146e-09,3.86528424728022e-18
"442371",138339,5.88194676400217e-09,0
"442373",440943,5.8666706195369e-09,8.5771601021165e-17
"470124",2135097,7.46363162961564e-09,0
"470125",1960124,7.44444124232668e-09,2.34090173393073e-17
"470126",4118163,7.12964538142822e-09,5.82394384294912e-18
"470129",7567067,8.38287619440106e-09,1.18685087378413e-17
"470130",7021815,8.41280400572385e-09,0
"470131",8048769,8.6274447061701e-09,1.4728872413953e-17
"470132",9998566,8.73733680736579e-09,0
"470133",4122371,8.63292959558806e-09,1.02696439971241e-17
"470134",2733127,8.29455941895176e-09,1.82955226745016e-17
"470135",3845138,8.29958879574677e-09,1.94753209673225e-17
"470136",5138475,8.15114336045277e-09,4.11795310892027e-17
"470137",13499389,8.76656249486527e-09,1.58209775729911e-16
"470138",235214,8.6507483342416e-09,1.55359244427492e-17
"470139",4905815,8.31730109933357e-09,6.0668880527757e-17
"470142",1151533,8.6017622037658e-09,2.69654360076062e-17
"470145",3028589,8.842478905221e-09,0
"470146",580714,8.85820155275411e-09,0
"470147",7173828,8.22631965101546e-09,1.08716158040589e-17
"470149",8233323,8.33576212242164e-09,4.22078145942863e-19
"470150",18475129,8.39199502084305e-09,1.4601622987191e-17
"470152",9433057,8.20979848332915e-09,2.71758545236423e-17
"470153",11123386,8.15032640146019e-09,0
"470154",9181013,7.88947604298118e-09,0
"470156",1608507,8.49649645574313e-09,4.56709464089348e-17
"470157",2696319,8.60831216622157e-09,1.02202737865689e-15
"470159",1774629,8.33233061856689e-09,0
"470160",58847,8.03426715200221e-09,1.65254664947017e-18
"470161",513154,8.0059524548704e-09,2.19099748606264e-17
