"","u","v"
"730","15378821","2626551459"
"731","15378825","7740545584"
"732","15378825","1775836985"
"733","15378826","268221897"
"734","15378827","1243135924"
"735","15378828","294062329"
"736","15378831","15378832"
"737","15378832","15378849"
"738","15378833","15378832"
"739","15378834","469982260"
"740","15378836","6378615544"
"741","15378836","8809434"
"742","15378840","796496020"
"743","15378841","368082"
"744","15378843","8809436"
"745","15378844","15378843"
"746","15378847","8809435"
"747","15378848","15378847"
"748","15378849","15378848"
"749","15378852","6828182418"
"750","15378854","15378859"
"751","15378856","123526863"
"752","15378858","707883928"
"753","15378858","619543021"
"754","15378859","15378852"
"755","15435230","506354647"
"756","15435231","15435234"
"757","15435231","361705"
"758","15435232","767557039"
"759","15435233","15435232"
"760","15435240","8256992411"
"761","15435241","15435240"
"762","15435242","9817958322"
"763","15435242","15435243"
"764","15435244","8402437223"
"765","15435244","8143294890"
"766","15435244","15035534"
"767","15435249","8016758848"
"768","15435250","9481740833"
"769","15435252","8143294886"
"770","15435254","382026"
"771","15435259","8259542292"
"772","15435259","6807716513"
"773","15435260","15435261"
"774","15435261","8284069750"
"775","15435269","365930069"
"776","15435272","365930069"
"777","15435273","15435272"
"778","15435274","1455771824"
"779","15435274","259262303"
"780","15435277","735107577"
"781","15435278","15435277"
"782","15435280","277543665"
"783","15435280","1544038078"
"784","15435281","277543669"
"785","15435282","8313093269"
"786","15435283","15435282"
"787","15435310","8068619052"
"788","15435311","1689016"
"789","15435311","5285672659"
"790","15641131","1141486778"
"791","15643080","356428388"
"792","15643084","687096818"
"793","15643085","25273879"
"794","15643088","677151953"
"795","15643095","677174952"
"796","15643097","94179673"
"797","15643097","94179907"
"798","15643098","25207329"
"799","15643098","25272989"
"800","15643099","693605056"
"801","15643100","25554268"
"802","15643101","25554442"
"803","15643109","566746097"
"804","15644057","1841311669"
"805","15644058","6426648205"
"806","15644294","32564429"
"807","15644295","1757087088"
"808","15859474","792973"
"809","15859481","15859483"
"810","15859481","2575130888"
"811","15859483","6475521572"
"812","15859484","15859511"
"813","15859492","5422262857"
"814","15859494","15860543"
"815","15859496","5701726017"
"816","15859498","3700151064"
"817","15859500","6092452280"
"818","15859501","6092452278"
"819","15859502","2574957858"
"820","15859502","3711104256"
"821","15859504","1666564768"
"822","15859505","15859502"
"823","15859507","15859506"
"824","15859507","2574957904"
"825","15859511","15859512"
"826","15859512","361045"
"827","15859519","644154"
"828","15859522","5636775298"
"829","15860541","15860543"
"830","15860541","4338803424"
"831","15860566","411736456"
"832","15864045","8313093262"
"833","15864045","15435311"
"834","15864046","262468111"
"835","15864046","262468132"
"836","15864047","15864046"
"837","15864049","15864047"
"838","15864050","15864051"
"839","15864051","15864053"
"840","15864051","1666520431"
"841","15864053","1666520430"
"842","15864054","15864049"
"843","15864057","3711104256"
"844","15864058","5329617530"
"845","15864063","15864047"
"846","16820915","6620331048"
"847","16820916","683577697"
"848","16820918","32561073"
